#    L    TT             EE             TE             PP             TP          
   298   0.391066E+04   0.875182E+01   0.114508E+03   0.188738E+07   0.111310E+04
   299   0.387759E+04   0.892552E+01   0.114821E+03   0.188002E+07   0.110331E+04
   300   0.384441E+04   0.909906E+01   0.115096E+03   0.187271E+07   0.109358E+04
   301   0.381117E+04   0.927393E+01   0.115341E+03   0.186544E+07   0.108393E+04
   302   0.377796E+04   0.944939E+01   0.115555E+03   0.185821E+07   0.107434E+04
   303   0.374471E+04   0.962617E+01   0.115724E+03   0.185102E+07   0.106482E+04
   304   0.371141E+04   0.980429E+01   0.115847E+03   0.184387E+07   0.105538E+04
   305   0.367813E+04   0.998224E+01   0.115940E+03   0.183676E+07   0.104600E+04
   306   0.364482E+04   0.101608E+02   0.115996E+03   0.182969E+07   0.103669E+04
   307   0.361152E+04   0.103399E+02   0.116006E+03   0.182266E+07   0.102744E+04
   308   0.357826E+04   0.105211E+02   0.115994E+03   0.181567E+07   0.101827E+04
   309   0.354510E+04   0.107013E+02   0.115929E+03   0.180872E+07   0.100916E+04
   310   0.351189E+04   0.108814E+02   0.115834E+03   0.180180E+07   0.100012E+04
   311   0.347878E+04   0.110636E+02   0.115694E+03   0.179493E+07   0.991140E+03
   312   0.344577E+04   0.112448E+02   0.115525E+03   0.178809E+07   0.982228E+03
   313   0.341279E+04   0.114266E+02   0.115311E+03   0.178129E+07   0.973381E+03
   314   0.337991E+04   0.116090E+02   0.115066E+03   0.177453E+07   0.964598E+03
   315   0.334713E+04   0.117905E+02   0.114777E+03   0.176780E+07   0.955879E+03
   316   0.331446E+04   0.119725E+02   0.114451E+03   0.176111E+07   0.947223E+03
   317   0.328188E+04   0.121536E+02   0.114088E+03   0.175446E+07   0.938629E+03
   318   0.324940E+04   0.123360E+02   0.113688E+03   0.174785E+07   0.930099E+03
   319   0.321710E+04   0.125175E+02   0.113251E+03   0.174127E+07   0.921629E+03
   320   0.318497E+04   0.126989E+02   0.112784E+03   0.173472E+07   0.913222E+03
