#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   166   0.473430E+04  -0.425500E+02   0.195323E-03  -0.425500E+02   0.950463E+00  -0.834674E-06   0.195323E-03  -0.834674E-06   0.747701E-07
   167   0.476189E+04  -0.421534E+02   0.193661E-03  -0.421534E+02   0.939628E+00  -0.825356E-06   0.193661E-03  -0.825356E-06   0.743647E-07
   168   0.478902E+04  -0.417290E+02   0.192018E-03  -0.417290E+02   0.928802E+00  -0.815813E-06   0.192018E-03  -0.815813E-06   0.739626E-07
   169   0.481582E+04  -0.412766E+02   0.190393E-03  -0.412766E+02   0.917688E+00  -0.806037E-06   0.190393E-03  -0.806037E-06   0.735636E-07
   170   0.484230E+04  -0.407978E+02   0.188785E-03  -0.407978E+02   0.906511E+00  -0.796020E-06   0.188785E-03  -0.796020E-06   0.731678E-07
   171   0.486831E+04  -0.402904E+02   0.187196E-03  -0.402904E+02   0.895271E+00  -0.785753E-06   0.187196E-03  -0.785753E-06   0.727752E-07
   172   0.489393E+04  -0.397558E+02   0.185623E-03  -0.397558E+02   0.883896E+00  -0.775229E-06   0.185623E-03  -0.775229E-06   0.723857E-07
   173   0.491907E+04  -0.391939E+02   0.184067E-03  -0.391939E+02   0.872385E+00  -0.764438E-06   0.184067E-03  -0.764438E-06   0.719993E-07
   174   0.494388E+04  -0.386049E+02   0.182528E-03  -0.386049E+02   0.861039E+00  -0.753374E-06   0.182528E-03  -0.753374E-06   0.716160E-07
   175   0.496830E+04  -0.379880E+02   0.181005E-03  -0.379880E+02   0.849559E+00  -0.742026E-06   0.181005E-03  -0.742026E-06   0.712357E-07
   176   0.499216E+04  -0.373431E+02   0.179498E-03  -0.373431E+02   0.838171E+00  -0.730392E-06   0.179498E-03  -0.730392E-06   0.708585E-07
